Store,Name,Store Status,Address,City,State,Zip Code,Store Address,Report Date
4013,WAL-MART 0841 / TIPTON,A,1126 HIGHWAY 38 NORTH,TIPTON,IA,52772,POINT (-91.12746 41.78672),01/01/2025
010481,KWIK STAR #1700 / WEBSTER CITY,A,1515 OVERPASS DRIVE,WEBSTER CITY,IA,50595,POINT (-93.8424 42.47045),01/01/2025
2697,HY-VEE DOLLAR FRESH - TOLEDO,A,1006 S. COUNTRY ROAD,TOLEDO,IA,52342,POINT (-92.58168 41.98519),01/01/2025
2508,HY-VEE FOOD STORE #1 (1054) / CEDAR RAPIDS,A,"1843 JOHNSON AVENUE, N.W.",CEDAR RAPIDS,IA,52405,POINT (-91.69846 41.97433),01/01/2025
6051,CASEY'S GENERAL STORE #1712 / SHENANDOAH,A,605 S FREMONT ST,SHENANDOAH,IA,51601,POINT (-95.3851 40.76128),01/01/2025
5637,CATFISH CHARLIE'S,A,1630 EAST 16TH ST,DUBUQUE,IA,52001,POINT (-90.6516 42.51305),01/01/2025
5431,BREW COFFEE WINE SPIRIT AND CIGARS,A,346 PLYMOUTH ST SW,LE MARS,IA,51031,POINT (-96.17183 42.79305),01/01/2025
5106,RANDY'S NEIGHBORHOOD MARKET,A,622 10TH  ST,DEWITT,IA,52742,POINT (-90.54008 41.82517),01/01/2025
2653,HY-VEE WINE AND SPIRITS / WASHINGTON,A,528 IOWA 1,WASHINGTON,IA,52353,POINT (-91.70796 41.2947),01/01/2025
5319,WEST SIDE GROCERY,I,1802 W 7TH ST,DAVENPORT,IA,52802,POINT (-90.60132 41.52677),01/01/2025
010299,COLFAX TRUCK STOP LLC / COLFAX,A,1405 N WALNUT ST,COLFAX,IA,50054,POINT (-93.24678 41.69534),01/01/2025
2719,HY-VEE FAST AND FRESH / WAUKEE,A,2855 GRAND PRAIRIE PARKWAY,WAUKEE,IA,50263,POINT (-93.85354 41.58181),01/01/2025
4740,WALGREENS #04405 / COUNCIL BLUFFS,A,2508 W BROADWAY,COUNCIL BLUFFS,IA,51501,POINT (-95.88252 41.26219),01/01/2025
010225,B&L DRIVE THRU / FORT DODGE,I,902 S 22ND ST,FORT DODGE,IA,50501,POINT (-94.16791 42.4955),01/01/2025
2628,HY-VEE FOOD STORE / ELDORA,A,1616 EDGINGTON AVE,ELDORA,IA,50627,POINT (-93.10374 42.3606),01/01/2025
4949,RIVER DRIVE SMOKE SHOP,A,"828, W RIVER DR",DAVENPORT,IA,52802,POINT (-90.58569 41.52026),01/01/2025
4369,KUM & GO #28 / NORWALK,A,2991 SUNSET DR,NORWALK,IA,50211,POINT (-93.67424 41.4966),01/01/2025
3952,LOT-A-SPIRITS,I,3780 STATE ST,BETTENDORF,IA,52722,POINT (-90.48081 41.52954),01/01/2025
4556,CASEY'S GENERAL STORE #2552 / GOLDFIELD,A,319 E HWY 3,GOLDFIELD,IA,50542,POINT (-93.917 42.73159),01/01/2025
